Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
日,"day, sun, Japan, counter for days","nichi, jitsu","ニチ, ジツ","hi, -bi, -ka","ひ, -び, -か"
一,one,ichi,イチ,hito(tsu),ひと(つ)
国,country,koku,コク,kuni,くに
人,person,"jin, nin","ジン, ニン",hito,ひと
年,"year, counter for years",nen,ネン,toshi,とし
大,"large, big","dai, tai","ダイ, タイ",oo(kii),おお(きい)
十,"ten, 10",juu,ジュウ,"tou, to","とお, と"
二,"two, 2","ni, ji","ニ, ジ","futa(tsu), futatabi","ふた(つ), ふたたび"
本,"book, present, true, counter for long cylindrical things",hon,ホン,moto,もと
中,"in, inside, middle, mean, center",chuu,チュウ,"naka, uchi","なか, うち"
長,"long, leader, superior, senior",chou,チョウ,"naga(i), osa","なが(い), おさ"
出,"exit, leave, go out","shutsu, sui","シュツ, スイ","de(ru), da(su)","で(る), だ(す)"
三,"three, 3",san,サン,mi(tsu),み(つ)
時,"time, hour",ji,ジ,"toki, doki","とき, -どき"
行,"going, journey, carry out, line, row","kou, gyou","コウ, ギョウ","i(ku), yu(ku), okona(u)","い(く), ゆ(く), おこな(う)"
見,"see, hopes, chances, idea, opinion, visible",ken,ケン,"mi(ru), mi(seru)","み(る), み(せる)"
月,"month, moon","getsu, gatsu","ゲツ, ガツ",tsuki,つき
分,"part, minute of time, understand","bun, fun, bu","ブン, フン, ブ",wa(keru),わ(ける)
後,"behind, back, later","go, kou","ゴ, コウ","nochi, ushi(ro), ato","のち, うし(ろ), あと"
前,"in front, before",zen,ゼン,mae,まえ
生,"life, genuine, birth","sei, shou","セイ, ショウ","i(kiru), u(mu), o(u), ha(eru), nama","い(きる), う(む), お(う), は(える), なま"
五,"five, 5",go,ゴ,itsu(tsu),いつ(つ)
間,"interval, space","kan, ken","カン, ケン","aida, ma, ai","あいだ, ま, あい"
上,"above, up","jou, shou, shan","ジョウ, ショウ, シャン","ue, uwa, kami, a(geru), nobo(ru)","うえ, うわ-, かみ, あ(げ, る), のぼ(る)"
東,east,tou,トウ,higashi,ひがし
四,"four, 4",shi,シ,"yo(tsu), yon","よ(つ), よん"
今,now; the present,"kon, kin","コン, キン",ima,いま
金,gold,"kin, kon, gon","キン, コン, ゴン","kane, kana, gane","かね, かな-, -がね"
九,"nine, 9","kyuu, ku","キュウ, ク",kokono(tsu),ここの(つ)
入,"enter, insert",nyuu,ニュウ,"i(ru), hai(ru)","い(る), はい(る)"
学,"study, learning, science",gaku,ガク,mana(bu),まな(ぶ)
高,"tall, high, expensive",kou,コウ,taka(i),たか(い)
円,"circle, yen, round",en,エン,maru(i),まる(い)
子,child,"shi, su, tsu","シ, ス, ツ","ko, ne","こ, ね"
外,outside,"gai, ge","ガイ, ゲ","soto, hoka, hazu(su)","そと, ほか, はず(す)"
八,"eight, 8",hachi,ハチ,"ya(tsu), you","や(つ), よう"
六,"six, 6",roku,ロク,"mu(tsu), mui","む(つ), むい"
下,"below, down, descend, give, low, inferior","ka, ge","カ, ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)","した, しも, もと, さ(げる), く, だ(る), お(ろす)"
来,"come, due, next, cause, become","rai, tai","ライ, タイ","kuru, ki, ko","く(る), き, こ"
気,"spirit, mind, air, atmosphere, mood","ki, ke","キ, ケ",iki,いき
小,"little, small",shou,ショウ,"chii(sai), ko","ちい(さい), こ"
七,"seven, 7",shichi,シチ,"nana(tsu), nano","なな(つ), なの"
山,mountain,"san, sen","サン, セン",yama,やま
話,"tale, talk",wa,ワ,"hana(su), hanashi","はな(す), はなし"
女,"woman, female",jo,ジョ,"onnna, me","おんな, め"
北,north,hoku,ホク,kita,きた
午,"noon, sign of the horse",go,ゴ,uma,うま
百,hundred,"hyaku, byaku","ヒャク, ビャク",momo,もも
書,write,sho,ショ,kaku,か(く)
先,"before, ahead, previous, future, precedence",sen,セン,"saki, ma(zu)","さき, ま(ず)"
名,"name, noted, distinguished, reputation","mei, myou","メイ, ミョウ",na,な
川,"river, stream",sen,セン,kawa,かわ
千,thousand,sen,セン,chi,ち
聞,to hear; to listen; to ask,"bun, mon","ブン, モン",ki(ku),き(く)
水,water,sui,スイ,mizu,みず
半,"half, middle, odd number, semi-",han,ハン,naka(ba),なか(ば)
男,male; man,"dan, nan","ダン, ナン","otoko, o","おとこ, お"
西,west,"sei, sai","セイ, サイ",nishi,にし
電,electricity; electric powered,den,デン,,
語,"word, speech, language",go,ゴ,kata(ru),かた(る)
土,"soil, earth, ground","do, to","ド, ト",tsuchi,つち
木,"tree, wood","boku, moku","ボク, モク","ki, ko","き, こ-"
食,"eat, food","shoku, jiki","ショク, ジキ","k(u), ta(beru)","く(う), た(べる)"
車,"car, wheel",sha,シャ,kuruma,くるま
何,what,ka,カ,"nani, nan","なに, なん"
南,south,"nan, na","ナン, ナ",minami,みなみ
万,"ten thousand, 10,000","man, ban","マン, バン",,
校,"school, exam",kou,コウ,,
毎,every,mai,マイ,goto(ni),ごと(に)
白,white,"haku, byaku","ハク, ビャク",shiro(i),しろ(い)
天,"heavens, sky, imperial",ten,テン,amatsu,あまつ
母,mother,bo,ボ,"haha, kaa","はは, かあ"
火,fire,ka,カ,"hi, bi, ho","ひ, -び, ほ-"
右,right (direction),"u, yuu","ウ, ユウ",migi,みぎ
読,to read,"doku, toku, tou","ドク, トク, トウ",yo(mu),よ(む)
友,friend,yuu,ユウ,tomo,とも
左,left,"sa, sha","サ, シャ",hidari,ひだり
休,"rest, day off, retire, sleep",kyuu,キュウ,yasu(mu),やす(む)
父,father,fu,フ,"chichi, tou","ちち, とう"
雨,rain,u,ウ,"ame, ama","あめ, あま"
